YEAR,MONTH,PTPM_CON,HRA2_AUT_60_MEAN,HRA2_AUT_60_AMAX,HRA2_AUT_60_AMIN,TA2_AUT_60_MEAN,TA2_AUT_60_AMAX,TA2_AUT_60_AMIN,NINO1+2,ANOM,NINO3,ANOM.1,NINO4,ANOM.2,NINO3.4,ANOM.3,CONFIRMED_CASES,ALL_CASES
2008,12,104.39999999999999,76.57019176516667,99.0,46.0,23.82587057048248,31.9,19.2,22.42999999999999,-0.35999999999999993,24.600000000000012,-0.5399999999999996,27.720000000000017,-0.7699999999999997,25.740000000000006,-0.8299999999999993,75.0,111.0
2009,1,74.4,75.82673509286413,97.0,47.0,24.063727082485844,31.9,19.0,24.41999999999999,-0.10000000000000005,25.029999999999983,-0.6000000000000001,27.41999999999999,-0.8799999999999998,25.539999999999992,-1.0300000000000005,69.0,108.0
2009,2,45.2,72.62377658573311,97.0,48.0,24.634347702849258,31.6,18.7,26.029999999999983,-0.10999999999999999,25.850000000000016,-0.5199999999999997,27.37,-0.7300000000000003,26.039999999999996,-0.6799999999999998,73.0,140.0
2009,3,172.29999999999998,74.88616060268234,98.0,46.0,24.533062065762866,32.6,19.1,26.38,-0.25999999999999984,26.440000000000023,-0.6999999999999996,27.78999999999999,-0.4000000000000002,26.66999999999999,-0.5500000000000003,79.0,168.0
2009,4,112.00000000000001,74.58692201518288,98.0,44.0,24.785113008971702,33.5,19.4,25.98000000000001,0.36999999999999983,27.38999999999999,-0.10999999999999997,28.37,-0.12999999999999992,27.5,-0.2699999999999998,137.0,231.0
2009,5,110.10000000000002,73.58578775128564,98.0,46.0,24.962002210038673,32.7,18.7,24.83000000000001,0.5600000000000002,27.399999999999984,0.3200000000000001,28.990000000000006,0.2000000000000001,28.029999999999983,0.17999999999999997,184.0,345.0
2009,6,113.30000000000001,75.03864561766734,97.0,46.0,24.632975327812286,34.0,19.1,23.73000000000001,0.8500000000000003,27.12,0.69,29.200000000000014,0.36,28.11000000000001,0.47000000000000014,239.0,476.0
2009,7,15.3,66.61614238963467,96.0,34.0,25.8317788686302,34.9,18.6,22.63,1.0199999999999998,26.559999999999977,0.9400000000000004,29.21000000000001,0.4000000000000002,27.940000000000023,0.7199999999999999,358.0,630.0
2009,8,18.799999999999997,65.62646627565984,96.0,31.0,26.002212163712862,35.6,19.0,21.63999999999999,1.0,25.940000000000023,0.9499999999999995,29.21000000000001,0.5299999999999998,27.529999999999983,0.7100000000000005,556.0,1015.0
2009,9,44.8,64.97862745098043,96.0,22.0,26.298306920133005,36.6,19.1,20.820000000000004,0.47000000000000014,25.66,0.8000000000000004,29.27999999999998,0.5799999999999998,27.470000000000017,0.75,597.0,1055.0
2009,10,55.60000000000001,69.0682531187717,96.0,34.0,25.285238915694176,35.5,18.3,20.960000000000004,0.16999999999999996,25.73000000000001,0.8099999999999997,29.649999999999984,0.9899999999999993,27.63,0.9400000000000004,610.0,1062.0
2009,11,30.299999999999997,67.12899116444403,96.0,42.0,26.01554207050157,34.0,19.4,22.11000000000001,0.5099999999999999,26.23000000000001,1.2600000000000005,29.88,1.25,28.19000000000002,1.5399999999999994,466.0,854.0
2009,12,111.10000000000001,73.5076884920635,97.0,47.0,24.613191773504273,32.2,19.4,23.16,0.3499999999999998,26.66999999999999,1.5300000000000007,29.669999999999987,1.18,28.299999999999986,1.7199999999999993,535.0,948.0
2010,1,14.4,66.54633619752249,93.0,41.0,26.182450616116007,33.2,19.3,24.820000000000014,0.30000000000000004,26.63,1.0,29.509999999999994,1.2100000000000006,28.070000000000018,1.5,593.0,1177.0
2010,2,81.89999999999999,70.20498338983036,97.0,42.0,26.12071970824116,34.7,20.1,26.080000000000005,-0.06000000000000004,27.12,0.75,29.100000000000016,1.0,27.94000000000002,1.2199999999999995,1041.0,2351.0
2010,3,13.5,68.31386674345123,95.0,43.0,26.49553457979687,34.2,20.3,26.240000000000006,-0.4000000000000002,27.73000000000001,0.6000000000000001,29.21000000000001,1.0199999999999998,28.28999999999999,1.0799999999999992,1011.0,2372.0
2010,4,316.4,77.61613612836439,98.0,45.0,24.795682971014493,32.9,19.3,26.04999999999999,0.4499999999999998,28.04999999999999,0.5500000000000003,29.25,0.7399999999999997,28.36000000000001,0.59,572.0,1515.0
2010,5,158.8,75.18951612903226,99.0,46.0,25.358064516129037,34.2,18.7,24.279999999999983,0.0,26.970000000000017,-0.10999999999999997,29.02999999999998,0.24000000000000016,27.679999999999982,-0.16999999999999996,487.0,1225.0
2010,6,106.89999999999999,75.35694444444445,98.0,50.0,24.622222222222224,33.0,18.4,22.600000000000012,-0.2699999999999998,25.75,-0.6799999999999998,28.63999999999999,-0.21,27.0,-0.6499999999999999,409.0,1097.0
2010,7,148.0,76.72043010752688,98.0,45.0,24.11586021505376,31.8,19.1,20.08,-1.5399999999999994,24.529999999999983,-1.0900000000000003,28.090000000000007,-0.7100000000000005,26.090000000000003,-1.1299999999999997,326.0,909.0
2010,8,108.30000000000001,71.89516129032258,97.0,38.0,24.765322580645154,35.1,18.9,19.269999999999992,-1.3699999999999999,23.87,-1.1200000000000003,27.470000000000017,-1.2000000000000002,25.5,-1.32,311.0,796.0
2010,9,47.300000000000004,74.53775252525251,98.0,42.0,24.051060606060602,31.7,18.6,18.899999999999988,-1.44,23.59,-1.2600000000000005,27.13,-1.5600000000000003,25.07000000000001,-1.649999999999999,267.0,669.0
2010,10,68.0,76.07075576947597,98.0,36.0,24.036244712571943,33.7,18.9,19.05999999999999,-1.7299999999999989,23.25,-1.6599999999999986,27.059999999999977,-1.6000000000000008,25.009999999999994,-1.68,188.0,476.0
2010,11,182.60000000000002,82.38260898458269,98.0,52.0,23.00023167653603,30.0,18.3,20.029999999999983,-1.5600000000000003,23.399999999999988,-1.579999999999999,27.070000000000014,-1.57,25.07000000000001,-1.579999999999999,188.0,469.0
