MONTH,PTPM_CON,HRA2_AUT_60_MEAN,HRA2_AUT_60_AMAX,HRA2_AUT_60_AMIN,TA2_AUT_60_MEAN,TA2_AUT_60_AMAX,TA2_AUT_60_AMIN,NINO1+2,ANOM,NINO3,ANOM.1,NINO4,ANOM.2,NINO3.4,ANOM.3,CONFIRMED_CASES,ALL_CASES
1,73.80769230769229,72.08992045606107,97.07692307692308,44.07692307692308,24.987338422039336,32.90769230769231,18.507692307692306,24.573846153846155,0.06307692307692295,25.56,-0.06923076923076942,28.209999999999997,-0.09076923076923064,26.433846153846154,-0.13615384615384626,234.69230769230768,671.2307692307693
2,72.04166666666667,71.59673493395904,97.66666666666667,43.666666666666664,25.025525785245872,32.916666666666664,18.71666666666667,26.171666666666667,0.04166666666666662,26.245,-0.12416666666666669,28.055000000000003,-0.045000000000000075,26.56,-0.16416666666666666,325.25,977.4166666666666
3,113.02499999999998,73.84182884643168,97.5,43.666666666666664,24.88822232586982,33.349999999999994,18.658333333333335,26.663333333333338,0.04583333333333331,27.08333333333333,-0.05249999999999993,28.26166666666667,0.0716666666666666,27.13083333333334,-0.08333333333333341,311.9166666666667,966.25
4,188.41666666666666,76.52770204850832,98.25,45.916666666666664,24.50121283586479,32.949999999999996,19.01666666666667,25.728333333333328,0.1491666666666667,27.60916666666667,0.10916666666666673,28.648333333333337,0.14666666666666672,27.792499999999993,0.015833333333333394,336.1666666666667,1009.25
5,162.275,76.97619883844654,98.5,47.75,24.58034908425111,32.949999999999996,18.39166666666667,24.594166666666666,0.33166666666666683,27.165000000000006,0.08249999999999995,28.934999999999988,0.14500000000000005,27.884166666666662,0.03583333333333342,305.4166666666667,1041.6666666666667
6,69.83333333333334,73.65320192921921,97.75,43.0,24.818760156840252,33.57500000000001,18.233333333333334,23.284166666666668,0.41666666666666696,26.653333333333336,0.22083333333333324,29.010833333333334,0.17,27.77583333333334,0.13083333333333338,258.9166666666667,916.0833333333334
7,54.39166666666667,70.73427566621804,97.33333333333333,36.333333333333336,25.01319972443017,34.016666666666666,17.99166666666667,21.900000000000002,0.28583333333333355,25.85166666666667,0.23083333333333353,28.892500000000002,0.09083333333333328,27.30916666666667,0.08916666666666677,267.9166666666667,819.9166666666666
8,47.78333333333334,68.58692957829945,96.58333333333333,33.666666666666664,25.383321374993116,34.85,17.916666666666668,20.818333333333328,0.17666666666666675,25.114166666666673,0.1233333333333334,28.75916666666667,0.08000000000000003,26.860833333333332,0.04000000000000011,219.16666666666666,643.5
9,69.83333333333333,69.08895185338118,96.75,32.916666666666664,25.34361989887238,34.54999999999999,18.583333333333332,20.40833333333333,0.06333333333333328,24.909166666666664,0.057500000000000016,28.662499999999998,-0.028333333333333533,26.69083333333334,-0.02999999999999982,191.75,541.25
10,130.03333333333333,74.45519666028471,98.08333333333333,40.75,24.31506741893062,33.44166666666666,18.066666666666666,20.609166666666667,-0.18666666666666676,24.868333333333336,-0.0500000000000001,28.68166666666667,0.01999999999999989,26.60916666666667,-0.07999999999999997,177.16666666666666,483.9166666666667
11,116.77692307692305,75.88973156510268,98.07692307692308,47.61538461538461,24.2792814806117,32.03846153846153,18.669230769230765,21.489999999999995,-0.10153846153846156,25.056923076923077,0.08076923076923098,28.782307692307697,0.14692307692307688,26.787692307692314,0.13846153846153844,138.69230769230768,414.38461538461536
12,118.20000000000003,75.26122185782414,97.84615384615384,46.15384615384615,24.42712062921275,32.38461538461539,18.93846153846154,22.64846153846154,-0.1615384615384618,25.21615384615385,0.07615384615384614,28.569999999999997,0.08153846153846164,26.651538461538465,0.08076923076923072,162.15384615384616,459.9230769230769
