YEAR,WEEK,PTPM_CON,HRA2_AUT_60_MEAN,HRA2_AUT_60_AMAX,HRA2_AUT_60_AMIN,TA2_AUT_60_MEAN,TA2_AUT_60_AMAX,TA2_AUT_60_AMIN,NINO1+2,ANOM,NINO3,ANOM.1,NINO4,ANOM.2,NINO3.4,ANOM.3,CONFIRMED_CASES,ALL_CASES
2015,29,15.8,65.92807735742518,91.0,37.0,25.411923583662716,34.0,17.6,24.479999999999997,2.8700000000000006,27.789999999999996,2.17,29.800000000000004,1.0,28.819999999999997,1.5999999999999999,67.0,313.0
2015,30,4.9,70.66565499717674,97.0,27.0,24.96768617855574,35.7,18.4,24.479999999999997,2.8700000000000006,27.789999999999996,2.17,29.800000000000004,1.0,28.819999999999997,1.5999999999999999,82.0,310.0
2015,31,0.3,66.26915113871635,91.0,43.0,26.180667701863353,33.5,20.2,24.02285714285714,2.690000000000001,27.658571428571424,2.2185714285714284,29.759999999999998,0.9942857142857144,28.84,1.7342857142857144,70.0,303.0
2015,32,1.2,64.50527009222661,92.0,30.0,26.705540654997176,36.2,19.0,22.88,2.24,27.32999999999999,2.34,29.66,0.9800000000000002,28.889999999999993,2.07,75.0,263.0
2015,33,2.4,66.83302376494596,94.0,43.0,26.22629894895341,33.5,20.0,22.88,2.24,27.32999999999999,2.34,29.66,0.9800000000000002,28.889999999999993,2.07,62.0,265.0
2015,34,0.0,60.4663635019225,88.0,31.0,27.03131730953251,35.9,20.6,22.88,2.24,27.32999999999999,2.34,29.66,0.9800000000000002,28.889999999999993,2.07,40.0,188.0
2015,35,0.5,63.28787878787879,92.0,29.0,26.70508658008658,35.8,19.9,22.88,2.24,27.32999999999999,2.34,29.66,0.9800000000000002,28.889999999999993,2.07,58.0,235.0
2015,36,0.0,61.27333561883252,82.0,32.0,26.875515581726763,34.8,21.0,22.905714285714286,2.5228571428571427,27.458571428571425,2.588571428571428,29.72,1.0314285714285714,28.98428571428571,2.2499999999999996,48.0,195.0
2015,37,0.0,66.68220806109005,85.0,40.0,25.7756441281286,34.3,20.8,22.91,2.57,27.479999999999997,2.6299999999999994,29.729999999999997,1.04,29.0,2.28,43.0,181.0
2015,38,0.3,64.22585338483219,92.0,40.0,26.401582154600977,34.1,20.4,22.91,2.57,27.479999999999997,2.6299999999999994,29.729999999999997,1.04,29.0,2.28,56.0,243.0
2015,39,0.0,62.175595238095234,89.0,28.0,27.181948757763973,37.0,20.3,22.91,2.57,27.479999999999997,2.6299999999999994,29.729999999999997,1.04,29.0,2.28,46.0,224.0
2015,40,25.800000000000004,68.13729296066252,95.0,30.0,26.040760869565222,36.6,19.7,23.138571428571428,2.5414285714285714,27.537142857142857,2.6471428571428572,29.76428571428571,1.0857142857142859,29.08571428571429,2.3828571428571435,50.0,214.0
2015,41,1.8,66.37714097496706,90.0,41.0,26.255512422360248,34.5,19.8,23.31,2.52,27.57999999999999,2.66,29.789999999999996,1.12,29.150000000000002,2.4600000000000004,50.0,185.0
2015,42,18.7,73.43518593208034,98.0,46.0,25.112959116452906,33.4,19.6,23.31,2.52,27.57999999999999,2.66,29.789999999999996,1.12,29.150000000000002,2.4600000000000004,33.0,151.0
2015,43,28.3,69.56856094216342,95.0,40.0,26.028924336533034,34.2,20.2,23.31,2.52,27.57999999999999,2.66,29.789999999999996,1.12,29.150000000000002,2.4600000000000004,53.0,216.0
2015,44,36.5,74.33172268907563,97.0,46.0,24.865973389355748,31.9,19.4,23.384285714285713,2.48,27.62714285714285,2.698571428571429,29.86285714285714,1.1985714285714286,29.214285714285715,2.5300000000000002,52.0,206.0
2015,45,35.0,78.43452380952381,97.0,50.0,23.894642857142856,30.7,19.9,23.830000000000002,2.24,27.91,2.93,30.300000000000004,1.67,29.599999999999998,2.9499999999999997,56.0,193.0
2015,46,5.8,73.57738095238096,98.0,49.0,25.51547619047619,33.0,19.9,23.830000000000002,2.24,27.91,2.93,30.300000000000004,1.67,29.599999999999998,2.9499999999999997,44.0,237.0
2015,47,64.8,79.69047619047619,99.0,51.0,24.20357142857143,32.0,19.6,23.830000000000002,2.24,27.91,2.93,30.300000000000004,1.67,29.599999999999998,2.9499999999999997,47.0,202.0
2015,48,5.300000000000001,73.42857142857143,95.0,50.0,25.437500000000004,32.2,20.0,23.830000000000002,2.24,27.91,2.93,30.300000000000004,1.67,29.599999999999998,2.9499999999999997,60.0,223.0
2015,49,0.0,69.33928571428571,92.0,32.0,26.3452380952381,34.4,20.6,24.841428571428573,2.1971428571428566,27.97857142857143,2.8614285714285717,30.137142857142862,1.6357142857142857,29.419999999999998,2.8385714285714285,64.0,260.0
2015,50,0.2,67.54166666666667,90.0,45.0,26.506547619047616,33.6,20.4,25.009999999999998,2.19,27.990000000000002,2.8500000000000005,30.110000000000007,1.6299999999999994,29.389999999999993,2.82,84.0,257.0
